district,division,district_regex
Bagerhat,Khulna,ba+gh*(e|a)rha+th*
Bandarban,Chittagong,ba+ndh*(a+|o)rb(a+|o)n
Barguna,Barisal,ba+rgh*(u|o+)na+
Barisal,Barisal,b(a+|o)rish*a+l
Bhola,Barisal,\s+bhola\s+
Bogra,Rajshahi,(bogh*u*ra)|bagh*ura
Brahamanbaria,Chittagong,(brah*a*m+(a|o)nbar(i|e)y*a)|(\s+b\s*\.*\s*bar(i|e)y*a)
Chandpur,Chittagong,\s+ch*an*dp(u|oo)r\s+
Chittagong,Chittagong,(\s+ctg\s+)|(ch*it+ag(a|o)ng)|(ch*(a|o)t+r*(a|o)gr+a+m)
Chuadanga,Khulna,ch*(u|o+)ad(a+|o|u)ngh*a+
Comilla,Chittagong,c(o|u)m+il+a
Cox's Bazar,Chittagong,cox(o|e)*\s*['|â€™]*\s*s*\s*ba+(z|j|g)a+r
Dhaka,Dhaka,\s+dhaka\s+
Dinajpur,Rangpur,d(e+|i)na+(j|g|z)h*\s*p(u|o+)r
Faridpur,Dhaka,f(a|o|u)r(i|e+)d\s*p(u|o+)r
Feni,Chittagong,\s+feni\s+
Gaibandha,Rangpur,gh*a(e|i)ba+ndh*a
Gazipur,Dhaka,gh*a+(j|z|g)(i|e)\s*p(u|o+)r
Gopalganj,Dhaka,g(o+|u)pa+lgh*(a|o)nj
Habiganj,Sylhet,h(a|o)bigh*(a|o)nj
Jamalpur,Mymensingh,(j|z)ama+l\s*p(u|o+)r
Jessore,Khulna,(z|j)(e|a|o)s+h*ore*
Jhalokati,Barisal,(z|j)h*al(o|u)ka+(th*|d)i
Jhenaidah,Khulna,(z|j)h*(e|i)na*(i|y)dh*(a+|o)h*o*
Joypurhat,Rajshahi,(z|j)(a|o)(i|y)p(u|o+)rha+th*
Khagrachhari,Chittagong,khagh*ra+(ch*|s+)(a|o)ri
Khulna,Khulna,khulna+
Kishoreganj,Dhaka,k(i|e)s+h*(o+|u)re*gh*(a|o)nj
Kurigram,Rangpur,kur(e|i)gh*ra+m
Kushtia,Khulna,kush*tia
Lakshmipur,Chittagong,(la+kh*s+h*m(e|i)\s*p(u|o+)r)|(l(a|o)k+h*i\s*p(u|o+)r)|(la+xm(e|i)\s*p(u|o+)r)
Lalmonirhat,Rangpur,la+lm(o+|u)n(i|e)rha+th*
Madaripur,Dhaka,ma+dh*a+r(i|e)p(u|o+)r
Magura,Khulna,ma+gh*ura+
Manikganj,Dhaka,ma+n(i|e)kgh*(a|o)nj
Maulvibazar,Sylhet,m(a|o)u*l(o|u)*(v|bh*)i\s*ba+(z|j|g)a+r
Meherpur,Khulna,m(e|a)h(e|a)r\s*p(u|o+)r
Munshiganj,Dhaka,m(u|o+)nsh*(e|i)gh*(a|o)nj
Mymensingh,Mymensingh,(m(y|a*i)m(a|e)nsh*ingh*o*)|(m(a|o)imonsh*ingh*o*)
Naogaon,Rajshahi,\s+na*(o|u)u*gh*a(on)*\s+
Narail,Khulna,\s+n(a|o)r(ai|y)l\s+
Narayanganj,Dhaka,na+ra+y(o|a)ngh*(a|o)nj
Narsingdi,Dhaka,n(a|o)ra*sh*ing*dh*i
Natore,Rajshahi,\s+natore*\s+
Chapainawabganj,Rajshahi,ch*a+pa(i|y)\s*n(a|o)(w|y|b)a+bgh*(a|o)nj
Netrakona,Mymensingh,n(e|a)tr(o|a)kh*ona
Nilphamari,Rangpur,n(i|e+)l(ph*|f)ama+ri
Noakhali,Chittagong,n(o|u|ow)akh*a+li
Pabna,Rajshahi,\s+pa+bna+\s+
Panchagarh,Rangpur,p(a|o)n(ch*|s+)(a|o)g(a|o)rh*
Patuakhali,Barisal,p(a|o|u)t+(o|u)akh*a+l(i|e)
Pirojpur,Barisal,p(i|e+)r(o+|a)(j|z)h*\s*p(u|o+)r
Rajbari,Dhaka,ra+(j|z|g)h*ba+r(i|e)
Rajshahi,Rajshahi,ra+(j|z|g)h*sh*ah(i|e)
Rangamati,Chittagong,rangh*ama+t(i|e)
Rangpur,Rangpur,r(a|o)ngh*p(u|o+)r
Satkhira,Khulna,sa+th*kh*(i|e)ra
Shariatpur,Dhaka,sh*(a|o)r(i|e)y*(a|o)t\s*p(u|o+)r
Sherpur,Mymensingh,sh*(e|a)rp(u|o+)r
Sirajganj,Rajshahi,sh*(i|e)ra+(j|z)h*gh*(a|o)nj
Sunamganj,Sylhet,s(u|o+)na+mgh*(a|o)nj
Sylhet,Sylhet,\s+sylh*et\s+
Tangail,Dhaka,ta+ngh*a(i|y)l
Thakurgaon,Rangpur,th*a+kur(gaon*|goan)
