"House-1, Road-4, Block-C, Avenue-5, Section-11, Mirpur, Dhaka, Mirpur","House 1, Avenue 5, Block C, Section 11"
"Golapvilla, flat B5, house-37,road 10/a,Dhanmondi,dhaka  Dhaka  Dhaka Bangladesh","Golap Villa 1, House 37, Road 10/A"
"House: 73, 2nd Floor, Road: 4, Katashur, Dhaka Real State. Mohammadpur.","Hawlader Bari, House 73, Road 4, Katashur"
House 04 3rd floor flat 3B Road 31 Pallabi Mirpur Dhaka,"House 4, Road 31, Pallabi"
"8 Shahid Shangbadik Selina Parvin Sharak,Moghbazar,Dhaka","Partex Furniture, House 8, Shahid Sangbadik Selena Parvin Sarak"
"West Tejturi bazar, House: 58, Besides tanvir Store","House 58, West Tejturi Bazar"
"H-15,2nd floor, R-07,Sector-04,Uttara","House 15, Road 7, Sector 4"
"5th floor (5 of lift), Hse-27, Rd-2, Sec-10, Uttara, Dhaka","House 27, Road 2, Sector 10"
"Rd no:5 House:82,block:f,Banani, Dhaka.","Smokesman - Banani, House 82, Road 5, Block F"
"4D, subastu radience, house no-80, road no - 11/A,  dhanmondi, Dhaka.","Radiance, House 80, Road 11/A"
"(Telesales manager) H-41,7th floor,R-11,Nikunju-2,Khilkhet,Dhaka","Kamal Electronics, House 41, Road 11, Nikunja 2"
barikoi office 192 mirpur dohs,"Barikoi Office (Barikoi.com), House 192, Road 2"
h20 r29 rupanagr,"Chowdhuri Villa, House 20, Road 29, Rupnagar"
"74/5 kallyanpur , Road No -14","Arefin, House 74/5, Road 14"
"plo no 530,flat no 204, east kazipara mirpur","MT Poultry House, House 530, East Kazipara"
" Baghdad Shopping Complex (3rd floor), Section: 01, Mirpur","Sumon Mobile, Baghdad Shopping Complex, Section 1"
"Mutual Trust Bank Ltd. Corporate Head Office MTB Centre, 26 Gulshan Avenue Plot 5, Block D, Gulshan 1, Dhaka 1212","Mutual Trust Bank Gulshan, House 26, Gulshan Avenue"